Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
15	Ubuy	90513774	629	0	629.00	$D2025-10-01T10:14:05.777Z	new	False	False	www.u-buy.com.au	https://www.u-buy.com.au/product/PTRO76NQ8-motorola-moto-g85-5g-256gb-8gb-6-67-3d-curved-poled-android-14-international-model-unlocked-for-t-mobile-mint-tello-global-xt2427-1-blue	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
16	Campbelltown Computer Repairs	1374	299	0	299.00	$D2025-10-01T10:14:05.777Z	new	False	False	campcomprep.com.au	https://campcomprep.com.au/product/motorola-g55-5g-128gb-forest-greyau-stock6-5full-hd120hz4gb-128gb50mp-16mpsingle-esim5000mah1years-warranty/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17	microboss.com.au	78707886	376.42	0	376.42	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.microboss.com.au/catalog/product/view/id/2334718	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
18	TechCart	14390	300	0	300.00	$D2025-10-01T10:14:05.777Z	new	False	False	techcart.com.au	https://techcart.com.au/product/motorola-moto-g85-xt2427-2-128gb8gb-olive-green/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
19	MegaBuy	21474554	256.15	0	256.15	$D2025-10-01T10:14:05.777Z	new	False	False	www.megabuy.com.au	https://www.megabuy.com.au/motorola-g55-4128gb-forest-grey-p1389097.html	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
20	Etoren.com	33138	577	0	577.00	$D2025-10-01T10:14:05.777Z	new	False	False	au.etoren.com	https://au.etoren.com/products/motorola-moto-g85-5g-256gb-urban-grey-12gb-ram-global-version	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
21	All I.T Solutions QLD	787918218	299	0	299.00	$D2025-10-01T10:14:05.777Z	new	False	False	allitsolutions.net.au	https://allitsolutions.net.au/product/motorola-g55-5g-128gb-forest-greyau-stock6-5full-hd120hz4gb-128gb50mp-16mpdual-simwater-protection5000mah1years-warranty-pb5u0017au/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
22	Joom	431422186	475.54	0	475.54	$D2025-10-01T10:14:05.777Z	new	False	False	www.joom.com	https://www.joom.com/en/products/6889274e1aef6d0136ce35a1	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23	OzSpots Wireless	1525538	271.4	0	271.40	$D2025-10-01T10:14:05.777Z	new	False	False	www.ozspots.com.au	https://www.ozspots.com.au/product/motorola-g55-5g-128gb-forest-greyau-stock-6-5-full-hd-120hz-4gb-128gb-50mp-16mp-single-esim-5000mah-1-year-warranty/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
24	VTech Industries	1392573	271	0	271.00	$D2025-10-01T10:14:05.777Z	new	False	False	www.vtechindustries.com.au	https://vtechindustries.com.au/products/motorola-g55-5g-128gb-forest-grey-au-stock-6-5-full-hd-120hz-4gb-128gb-50mp-16mp-dual-sim-water-protection-5000mah-1years-warranty-pb5u0017au?variant=49952549470496	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
